home;score;away;year
México;1-0;Bolívia;2024
Bolívia;1-0;Andorra;2024
Argelia;3-2;Bolívia;2024
Uruguay;3-0;Bolívia;2023
Bolívia;2-0;Perú;2023
Paraguay;1-0;Bolívia;2023
Bolívia;1-2;Ecuador;2023
Bolívia;0-3;Argentina;2023
Brasil;5-1;Bolívia;2023
Bolívia;1-2;Panamá;2023
Bolívia;0-0;Chile;2023
Ecuador;1-0;Bolívia;2023
Arabia Saudita;1-2;Bolívia;2023
Uzbekistán;1-0;Bolívia;2023
Perú;1-0;Bolívia;2022
Bolívia;0-2;Senegal;2022
Bolívia;0-4;Brasil;2022
Colombia;3-0;Bolívia;2022
Bolívia;2-3;Chile;2022
Venezuela;4-1;Bolívia;2022
Bolívia;5-0;Trinidad y Tobago;2022
México;0-2;Estados Unidos;2024
Estados Unidos;3-1;Jamaica;2024
Estados Unidos;0-1;Eslovenia;2024
Trinidad y Tobago;2-1;Estados Unidos;2023
Estados Unidos;3-0;Trinidad y Tobago;2023
Estados Unidos;4-0;Ghana;2023
Estados Unidos;1-3;Alemania;2023
Estados Unidos;4-0;Omán;2023
Estados Unidos;3-0;Uzbekistán;2023
Estados Unidos;1-1;Panamá;2023
Estados Unidos;2-2;Canadá;2023
Estados Unidos;6-0;Trinidad y Tobago;2023
St. Kitts and Nevis;0-6;Estados Unidos;2023
Estados Unidos;1-1;Jamaica;2023
Canadá;0-2;Estados Unidos;2023
Estados Unidos;3-0;México;2023
Estados Unidos;1-1;México;2023
Estados Unidos;1-0;El Salvador;2023
Grenada;7-1;Estados Unidos;2023
Estados Unidos;0-0;Colombia;2023
Estados Unidos;1-2;Serbia;2023
Países Bajos;3-1;Estados Unidos;2022
Irán;0-1;Estados Unidos;2022
Inglaterra;0-0;Estados Unidos;2022
Estados Unidos;1-1;Gales;2022
Argentina;3-1;Costa Rica;2024
Argentina;3-0;El Salvador;2024
Brasil;0-1;Argentina;2023
Argentina;0-2;Uruguay;2023
Perú;0-2;Argentina;2023
Argentina;1-0;Paraguay;2023
Bolívia;0-3;Argentina;2023
Argentina;1-0;Ecuador;2023
Indonesia;0-2;Argentina;2023
Argentina;2-0;Australia;2023
Argentina;7-0;Curacao;2023
Argentina;2-0;Panamá;2023
Argentina;3-3;Francia;2022
Argentina;3-0;Croacia;2022
Países Bajos;2-2;Argentina;2022
Argentina;2-1;Australia;2022
Polonia;0-2;Argentina;2022
Argentina;2-0;México;2022
Argentina;1-2;Arabia Saudita;2022
Emiratos Árabes Unidos;0-5;Argentina;2022
Argentina;3-0;Jamaica;2022
Argentina;3-0;Honduras;2022
Argentina;5-0;Estonia;2022
Italia;0-3;Argentina;2022
Ecuador;1-1;Argentina;2022
Jamaica;1-0;República Dominicana;2024
Panamá;0-1;Jamaica;2024
Estados Unidos;3-1;Jamaica;2024
Trinidad y Tobago;0-0;Jamaica;2024
Trinidad y Tobago;0-1;Jamaica;2024
Canadá;2-3;Jamaica;2023
Jamaica;1-2;Canadá;2023
Guatemala;0-0;Jamaica;2023
Haití;2-3;Jamaica;2023
Grenada;1-4;Jamaica;2023
Jamaica;2-2;Haití;2023
Jamaica;1-0;Honduras;2023
Jamaica;0-3;México;2023
Guatemala;0-1;Jamaica;2023
Jamaica;5-0;St. Kitts and Nevis;2023
Jamaica;4-1;Trinidad y Tobago;2023
Estados Unidos;1-1;Jamaica;2023
Jamaica;1-2;Jordania;2023
Jamaica;1-2;Catar;2023
México;2-2;Jamaica;2023
Jamaica;0-0;Trinidad y Tobago;2023
Jamaica;0-1;Trinidad y Tobago;2023
Camerún;1-1;Jamaica;2022
Argentina;3-0;Jamaica;2022
Catar;1-1;Jamaica;2022
España;3-3;Brasil;2024
Inglaterra;0-1;Brasil;2024
Brasil;0-1;Argentina;2023
Colombia;2-1;Brasil;2023
Uruguay;2-0;Brasil;2023
Brasil;1-1;Venezuela;2023
Perú;0-1;Brasil;2023
Brasil;5-1;Bolívia;2023
Brasil;2-4;Senegal;2023
Brasil;4-1;Guinea;2023
Marruecos;2-1;Brasil;2023
Croacia;1-1;Brasil;2022
Brasil;4-1;Corea del Sur;2022
Camerún;1-0;Brasil;2022
Brasil;1-0;Suiza;2022
Brasil;2-0;Serbia;2022
Brasil;5-1;Túnez;2022
Brasil;3-0;Ghana;2022
Japón;0-1;Brasil;2022
Corea del Sur;1-5;Brasil;2022
Bolívia;0-4;Brasil;2022
Brasil;4-0;Chile;2022
Brasil;4-0;Paraguay;2022
Ecuador;1-1;Brasil;2022
México;0-4;Uruguay;2024
México;1-0;Bolívia;2024
México;0-2;Estados Unidos;2024
Panamá;0-3;México;2024
México;2-3;Colombia;2023
México;2-0;Honduras;2023
Honduras;2-0;México;2023
México;2-2;Alemania;2023
México;2-0;Ghana;2023
México;3-3;Uzbekistán;2023
México;2-2;Australia;2023
México;1-0;Panamá;2023
Jamaica;0-3;México;2023
México;2-0;Costa Rica;2023
México;0-1;Catar;2023
Haití;1-3;México;2023
México;4-0;Honduras;2023
Panamá;0-1;México;2023
Estados Unidos;3-0;México;2023
México;2-2;Camerún;2023
México;2-0;Guatemala;2023
Estados Unidos;1-1;México;2023
México;2-2;Jamaica;2023
Suriname;0-2;México;2023
Arabia Saudita;1-2;México;2022
Panamá;2-0;Guyana;2024
Panamá;0-1;Jamaica;2024
Panamá;0-3;México;2024
Panamá;3-1;Costa Rica;2023
Costa Rica;0-3;Panamá;2023
Panamá;3-0;Guatemala;2023
Curacao;1-2;Panamá;2023
Guatemala;1-1;Panamá;2023
Panamá;3-0;Martinique;2023
Bolívia;1-2;Panamá;2023
México;1-0;Panamá;2023
Estados Unidos;1-1;Panamá;2023
Panamá;4-0;Catar;2023
Panamá;2-2;El Salvador;2023
Martinique;1-2;Panamá;2023
Costa Rica;1-2;Panamá;2023
Panamá;0-1;México;2023
Panamá;0-2;Canadá;2023
Panamá;3-2;Nicaragua;2023
Costa Rica;0-1;Panamá;2023
Argentina;2-0;Panamá;2023
Camerún;1-1;Panamá;2022
Venezuela;2-2;Panamá;2022
Panamá;1-1;Arabia Saudita;2022
Francia;3-2;Chile;2024
Albania;0-3;Chile;2024
Ecuador;1-0;Chile;2023
Chile;0-0;Paraguay;2023
Venezuela;3-0;Chile;2023
Chile;2-0;Perú;2023
Chile;0-0;Colombia;2023
Uruguay;3-1;Chile;2023
Bolívia;0-0;Chile;2023
Chile;5-0;República Dominicana;2023
Chile;3-0;Cuba;2023
Chile;3-2;Paraguay;2023
Eslovaquia;0-0;Chile;2022
Polonia;1-0;Chile;2022
Catar;2-2;Chile;2022
Marruecos;2-0;Chile;2022
Ghana;0-0;Chile;2022
Chile;0-2;Túnez;2022
Corea del Sur;2-0;Chile;2022
Chile;0-2;Uruguay;2022
Brasil;4-0;Chile;2022
Bolívia;2-3;Chile;2022
Chile;1-2;Argentina;2022
Perú;0-0;Paraguay;2024
Paraguay;0-1;Colombia;2023
Chile;0-0;Paraguay;2023
Paraguay;1-0;Bolívia;2023
Argentina;1-0;Paraguay;2023
Venezuela;1-0;Paraguay;2023
Paraguay;0-0;Perú;2023
Paraguay;2-0;Nicaragua;2023
Chile;3-2;Paraguay;2023
Colombia;2-0;Paraguay;2022
Perú;1-0;Paraguay;2022
Paraguay;0-0;Marruecos;2022
Paraguay;1-0;Emiratos Árabes Unidos;2022
México;0-1;Paraguay;2022
CoreadelSur;2-2;Paraguay;2022
Japón;4-1;Paraguay;2022
Perú;2-0;Paraguay;2022
Paraguay;3-1;Ecuador;2022
Brasil;4-0;Paraguay;2022
Paraguay;0-1;Uruguay;2022
Colombia;3-2;Rumania;2024
España;0-1;Colombia;2024
México;2-3;Colombia;2023
Colombia;1-0;Venezuela;2023
Paraguay;0-1;Colombia;2023
Colombia;2-1;Brasil;2023
Ecuador;0-0;Colombia;2023
Colombia;2-2;Uruguay;2023
Chile;0-0;Colombia;2023
Alemania;0-2;Colombia;2023
Colombia;1-0;Irak;2023
Japón;1-2;Colombia;2023
CoreadelSur;2-2;Colombia;2023
EstadosUnidos;0-0;Colombia;2023
Colombia;2-0;Paraguay;2022
Colombia;4-1;Guatemala;2022
ArabiaSaudita;0-1;Colombia;2022
Venezuela;0-1;Colombia;2022
Colombia;3-0;Bolívia;2022
Argentina;1-0;Colombia;2022
Colombia;0-1;Perú;2022
Colombia;2-1;Honduras;2022
Perú;0-0;Paraguay;2024
Perú;4-1;República Dominicana;2024
Perú;2-0;Nicaragua;2024
Perú;1-1;Venezuela;2023
Bolívia;2-0;Perú;2023
Perú;0-2;Argentina;2023
Chile;2-0;Perú;2023
Perú;0-1;Brasil;2023
Paraguay;0-0;Perú;2023
Japón;4-1;Perú;2023
CoreadelSur;0-1;Perú;2023
Marruecos;0-0;Perú;2023
Alemania;2-0;Perú;2023
Perú;1-0;Bolívia;2022
Perú;1-0;Paraguay;2022
ElSalvador;1-4;Perú;2022
México;1-0;Perú;2022
Australia;0-0;Perú;2022
Perú;1-0;Nueva Zelanda;2022
Perú;2-0;Paraguay;2022
Uruguay;1-0;Perú;2022
Perú;1-1;Ecuador;2022
Colombia;0-1;Perú;2022
Perú;3-0;Jamaica;2022
Perú;1-1;Panamá;2022
Costa Rica;4-0;St. Kitts and Nevis;2024
Costa Rica;0-0;Uruguay;2024
Argentina;3-1;Costa Rica;2024
Costa Rica;3-1;Honduras;2024
Costa Rica;2-0;El Salvador;2024
Panamá;3-1;Costa Rica;2023
Costa Rica;0-3;Panamá;2023
Costa Rica;1-4;Emiratos Árabes Unidos;2023
Arabia Saudita;1-3;Costa Rica;2023
México;2-0;Costa Rica;2023
Costa Rica;6-4;Martinique;2023
El Salvador;0-0;Costa Rica;2023
Costa Rica;1-2;Panamá;2023
Ecuador;3-1;Costa Rica;2023
Costa Rica;0-1;Guatemala;2023
Costa Rica;0-1;Panamá;2023
Martinique;1-2;Costa Rica;2023
Costa Rica;2-4;Alemania;2022
Japón;0-1;Costa Rica;2022
España;7-0;Costa Rica;2022
Costa Rica;2-0;Nigeria;2022
Uzbekistán;1-2;Costa Rica;2022
Corea del Sur;2-2;Costa Rica;2022
Costa Rica;1-0;Nueva Zelanda;2022
Costa Rica;2-0;Martinique;2022
México;0-4;Uruguay;2024
Costa Rica;0-0;Uruguay;2024
Costa de Marfil;2-1;Uruguay;2024
Uruguay;3-0;Bolívia;2023
Argentina;0-2;Uruguay;2023
Uruguay;2-0;Brasil;2023
Colombia;2-2;Uruguay;2023
Ecuador;2-1;Uruguay;2023
Uruguay;3-1;Chile;2023
Uruguay;2-0;Cuba;2023
Uruguay;4-1;Nicaragua;2023
Corea del Sur;1-2;Uruguay;2023
Japón;1-1;Uruguay;2023
Ghana;0-2;Uruguay;2022
Portugal;2-0;Uruguay;2022
Uruguay;0-0;Corea del Sur;2022
Canadá;0-2;Uruguay;2022
Irán;1-0;Uruguay;2022
Uruguay;5-0;Panamá;2022
Estados Unidos;0-0;Uruguay;2022
México;0-3;Uruguay;2022
Chile;0-2;Uruguay;2022
Uruguay;1-0;Perú;2022
Uruguay;4-1;Venezuela;2022
Paraguay;0-1;Uruguay;2022
Ecuador;0-2;Italia;2024
Ecuador;2-0;Guatemala;2024
Ecuador;1-0;Chile;2023
Venezuela;0-0;Ecuador;2023
Ecuador;0-0;Colombia;2023
Bolívia;1-2;Ecuador;2023
Ecuador;2-1;Uruguay;2023
Argentina;1-0;Ecuador;2023
Ecuador;3-1;Costa Rica;2023
Ecuador;1-0;Bolívia;2023
Australia;1-2;Ecuador;2023
Australia;3-1;Ecuador;2023
Ecuador;1-2;Senegal;2022
Países Bajos;1-1;Ecuador;2022
Catar;0-2;Ecuador;2022
Ecuador;0-0;Irak;2022
Japón;0-0;Ecuador;2022
Arabia Saudita;0-0;Ecuador;2022
Ecuador;1-0;Cabo Verde;2022
México;0-0;Ecuador;2022
Ecuador;1-0;Nigeria;2022
Ecuador;1-1;Argentina;2022
Paraguay;3-1;Ecuador;2022
Perú;1-1;Ecuador;2022
Ecuador;1-1;Brasil;2022
Guatemala;0-0;Venezuela;2024
Italia;2-1;Venezuela;2024
Colombia;1-0;Venezuela;2023
Perú;1-1;Venezuela;2023
Venezuela;0-0;Ecuador;2023
Venezuela;3-0;Chile;2023
Brasil;1-1;Venezuela;2023
Venezuela;1-0;Paraguay;2023
Venezuela;1-0;Guatemala;2023
Venezuela;1-0;Honduras;2023
Uzbekistán;1-1;Venezuela;2023
Arabia Saudita;1-2;Venezuela;2023
Siria;1-2;Venezuela;2022
Venezuela;2-2;Panamá;2022
Emiratos Árabes Unidos;0-4;Venezuela;2022
Venezuela;0-1;Islandia;2022
Arabia Saudita;0-1;Venezuela;2022
Malta;0-1;Venezuela;2022
Venezuela;0-1;Colombia;2022
Argentina;3-0;Venezuela;2022
Uruguay;4-1;Venezuela;2022
Venezuela;4-1;Bolívia;2022
Perú;0-0;Paraguay;2024
Paraguay;0-1;Colombia;2023
Chile;0-0;Paraguay;2023
Paraguay;1-0;Bolívia;2023
Argentina;1-0;Paraguay;2023
Venezuela;1-0;Paraguay;2023
Paraguay;0-0;Perú;2023
Paraguay;2-0;Nicaragua;2023
Chile;3-2;Paraguay;2023
Colombia;2-0;Paraguay;2022
Perú;1-0;Paraguay;2022
Paraguay;0-0;Marruecos;2022
Paraguay;1-0;Emiratos Árabes Unidos;2022
México;0-1;Paraguay;2022
CoreadelSur;2-2;Paraguay;2022
Japón;4-1;Paraguay;2022
Perú;2-0;Paraguay;2022
Paraguay;3-1;Ecuador;2022
Brasil;4-0;Paraguay;2022
Paraguay;0-1;Uruguay;2022
